Usage.BoldItalic,Usage.ClaimsClassification,Usage.Name

R,Viruses,*Adenovirus Type 4
R,Viruses,*Hepatitis B Virus (HBV)
R,Viruses,*Hepatitis C Virus (HCV)
R,Viruses,*Herpes Simplex Type 1
R,Viruses,*Herpes Simplex Type 2
R,Viruses,*Human coronavirus 
R,Viruses,*HIV-1 (AIDS virus)
R,Viruses,*Influenza A/ Hong Kong
R,Viruses,*Respiratory Syncytial Virus (RSV)
R,Viruses,*Rubella (German Measles)
R,Viruses,*Vaccinia [Pox virus]

R,Viruses,*Avian polyomavirus
R,Viruses,*Canine distemper
R,Viruses,*Canine parvovirus- at 2 oz. per gallon
R,Viruses,*Feline leukemia
R,Viruses,*Feline picomavirus
R,Viruses,*Infectious bovine rhinotracheitis
R,Viruses,*Infectious bronchitis (Avian IBV)
R,Viruses,*Pseudorabies (PRV)
R,Viruses,*Rabies
R,Viruses,*Transmissible gastroenteritis virus (TGE)